Model,Function,Dim,Run,N_samples,MSE,MAE,TIME
NN,Styblinski_Tang,1,1,2,1991.1005859375,29.510570526123047,0.7634601593017578
NN,Styblinski_Tang,1,2,2,1988.2376708984375,28.040122985839844,0.576265811920166
NN,Styblinski_Tang,1,3,2,1317.08837890625,22.708393096923828,0.5788114070892334
NN,Styblinski_Tang,1,4,2,3990.040283203125,50.590538024902344,0.5787243843078613
NN,Styblinski_Tang,1,5,2,1304.7310791015625,24.806581497192383,0.5750341415405273
NN,Styblinski_Tang,1,6,2,1669.8995361328125,24.750411987304688,0.5778799057006836
NN,Styblinski_Tang,1,7,2,1324.783935546875,24.806440353393555,0.5810317993164062
NN,Styblinski_Tang,1,8,2,1739.40771484375,26.167129516601562,0.5776300430297852
NN,Styblinski_Tang,1,9,2,1551.561279296875,25.41033172607422,0.5851387977600098
NN,Styblinski_Tang,1,10,2,1585.1207275390625,24.0107364654541,0.5817351341247559
NN,Styblinski_Tang,1,11,2,1283.3956298828125,24.607013702392578,0.5695922374725342
NN,Styblinski_Tang,1,12,2,1539.6680908203125,25.43729019165039,0.5666141510009766
NN,Styblinski_Tang,1,13,2,1834.975341796875,27.17947769165039,0.571298360824585
NN,Styblinski_Tang,1,14,2,1295.2642822265625,24.84512710571289,0.573512077331543
NN,Styblinski_Tang,1,15,2,3454.606201171875,42.03653335571289,0.5656390190124512
NN,Styblinski_Tang,1,16,2,2063.975341796875,28.25048065185547,0.5751903057098389
NN,Styblinski_Tang,1,17,2,1569.3482666015625,23.814218521118164,0.5736668109893799
NN,Styblinski_Tang,1,18,2,1260.1385498046875,24.231487274169922,0.5712175369262695
NN,Styblinski_Tang,1,19,2,1279.2857666015625,24.774545669555664,0.5739049911499023
NN,Styblinski_Tang,1,20,2,2560.75927734375,35.392513275146484,0.5723700523376465
NN,Styblinski_Tang,1,1,4,1959.3284912109375,21.50723648071289,0.6000802516937256
NN,Styblinski_Tang,1,2,4,2126.857177734375,22.744203567504883,0.5980989933013916
NN,Styblinski_Tang,1,3,4,1532.9073486328125,20.594423294067383,0.6033494472503662
NN,Styblinski_Tang,1,4,4,1612.828125,25.68633270263672,0.5954005718231201
NN,Styblinski_Tang,1,5,4,1103.55712890625,21.232505798339844,0.600294828414917
NN,Styblinski_Tang,1,6,4,970.1300659179688,19.689207077026367,0.5927276611328125
NN,Styblinski_Tang,1,7,4,1406.16650390625,30.056581497192383,0.6084480285644531
NN,Styblinski_Tang,1,8,4,1937.8887939453125,22.781047821044922,0.5991477966308594
NN,Styblinski_Tang,1,9,4,1072.30810546875,16.387645721435547,0.6117954254150391
NN,Styblinski_Tang,1,10,4,2156.39794921875,22.920377731323242,0.6009492874145508
NN,Styblinski_Tang,1,11,4,1476.1488037109375,20.136137008666992,0.6120381355285645
NN,Styblinski_Tang,1,12,4,2768.094482421875,37.346290588378906,0.60174560546875
NN,Styblinski_Tang,1,13,4,1742.1121826171875,22.719141006469727,0.5949199199676514
NN,Styblinski_Tang,1,14,4,1479.76318359375,21.17136001586914,0.613727331161499
NN,Styblinski_Tang,1,15,4,4197.87109375,47.36918640136719,0.6048667430877686
NN,Styblinski_Tang,1,16,4,2143.486572265625,23.715864181518555,0.6084179878234863
NN,Styblinski_Tang,1,17,4,1484.11767578125,27.968656539916992,0.591994047164917
NN,Styblinski_Tang,1,18,4,1834.6865234375,24.305152893066406,0.5955626964569092
NN,Styblinski_Tang,1,19,4,1704.8419189453125,21.489377975463867,0.5958101749420166
NN,Styblinski_Tang,1,20,4,1141.3759765625,19.257808685302734,0.5898158550262451
NN,Styblinski_Tang,1,1,8,500.3290710449219,10.316324234008789,0.6242024898529053
