Model;Function;Dim;N_samples;Ref_Samples;MSE_mean;MSE_std;MAE_mean;MAE_std;TIME_mean;TIME_std
ANN;Styblinski_Tang;1;2;1;1830.1693969726562;716.7785782776831;28.06849718093872;6.78243423862429;0.5844358563423157;0.04134829063412353
ANN;Styblinski_Tang;1;4;2;1792.543405151367;700.0519369236382;24.453926849365235;6.8379980748584055;0.6009595394134521;0.006872032958015873
ANN;Styblinski_Tang;1;8;3;1005.4319509506225;530.994582588526;15.463159608840943;5.4384975679378424;0.623667311668396;0.004594171682483968
ANN;Styblinski_Tang;1;16;4;600.5434428334236;593.5053805890301;8.741915607452393;6.211868054508856;0.6270884156227112;0.004979626473203009
ANN;Styblinski_Tang;1;32;5;79.8873650431633;223.64694386930668;1.9953288406133651;2.3285917032231915;0.6194373607635498;0.004791373989731501
PF;Styblinski_Tang;1;2;1;15425.588650047284;58533.48627160538;48.98773688888694;84.84465973284973;0.0013788580894470216;0.00016730715718574066
PF;Styblinski_Tang;1;4;2;34473.681361674986;111596.44620944132;69.01865232626676;93.65443652053482;0.0013766288757324219;0.0001187587569103375
PF;Styblinski_Tang;1;8;3;6727.744546980992;8509.624644875157;37.6404554461483;16.089352608269028;0.0013333678245544434;5.145542875249411e-05
PF;Styblinski_Tang;1;16;4;2797.655437418422;2398.65949443185;28.372436069060363;6.636351955941151;0.0013385891914367675;4.6966491878245e-05
PF;Styblinski_Tang;1;32;5;1086.637668066169;1068.9390742819471;23.18931882570077;3.058569182277592;0.001339256763458252;4.2547121452174656e-05
SESM;Styblinski_Tang;1;2;1;4051.8803833007814;10259.965084358926;36.059652709960936;35.52024587784698;32.48357790708542;0.692849406317443
SESM;Styblinski_Tang;1;4;2;2511.8464935302736;1706.237182302964;29.55556192398071;12.412216476888846;32.192565298080446;0.1816933517175126
SESM;Styblinski_Tang;1;8;3;843.8499761581421;667.6262096861933;13.250136065483094;5.586888939243258;32.2475147485733;0.07930298032965398
SESM;Styblinski_Tang;1;16;4;362.3904781699181;399.4526114857684;6.708117949962616;4.520847555986579;32.1795178771019;0.1030916964169123
SESM;Styblinski_Tang;1;32;5;53.72556165158748;85.49428722380378;2.520976570248604;1.5499685753465946;32.11839007139206;0.10027732368846798
SVR;Styblinski_Tang;1;2;1;1711.5226354018384;570.5216002352843;28.43251882383688;9.022525095229675;0.0008089900016784668;0.0004428619508945116
SVR;Styblinski_Tang;1;4;2;1493.4423571997286;199.3821860851141;25.515781361982484;4.141992428761497;0.0007114291191101074;5.445427500799066e-05
SVR;Styblinski_Tang;1;8;3;1381.4430769900914;105.98404853793531;23.934042635683845;1.59118880954822;0.0007103323936462402;3.756959957977802e-05
SVR;Styblinski_Tang;1;16;4;1368.748413280665;83.39855678299256;23.42872840690775;0.5930094582056006;0.0007015109062194824;3.98340494381648e-05
SVR;Styblinski_Tang;1;32;5;1355.5244109389562;56.22787130015331;23.05849632621654;0.27685341914391093;0.0007244229316711425;4.1692891314868646e-05
ANN;Styblinski_Tang;2;4;1;7952.739465332032;11717.423684694373;62.10939273834229;38.00052262944748;0.760999608039856;0.008733417339026887
ANN;Styblinski_Tang;2;16;2;3638.7385864257812;1207.700046174337;40.13627624511719;6.924669371328673;0.7856200933456421;0.004039322538540256
ANN;Styblinski_Tang;2;64;3;460.49633293151857;248.61147568974386;9.466949844360352;2.683253012463758;0.7905633449554443;0.0033122413120042597
ANN;Styblinski_Tang;2;256;4;32.53565583229065;21.50322408235262;2.531947761774063;0.5130264229626744;0.8540461778640747;0.008887523795047397
ANN;Styblinski_Tang;2;1024;5;9.38593921661377;3.5525500364275864;1.7495536267757417;0.3440298223634421;0.8571276783943176;0.00406455719996377
PF;Styblinski_Tang;2;4;1;29187.787013812405;73339.71224562064;86.79937247015498;74.23696936131422;0.0022820115089416506;0.0036277128003527233
PF;Styblinski_Tang;2;16;2;12569.885656861505;13229.243044394912;61.15329496975744;25.463968146575503;0.0014839649200439453;0.00011354209171554876
PF;Styblinski_Tang;2;64;3;1800.6452204891204;311.0380092448538;31.866737855586262;1.38797296103715;0.0014771819114685059;7.681430281320864e-05
PF;Styblinski_Tang;2;256;4;1414.8509964204186;70.53845132499465;29.63034705459716;0.3541018293087929;0.0015853047370910645;0.00012507237040730395
PF;Styblinski_Tang;2;1024;5;1367.0495704180087;18.57882902388638;29.228897364012038;0.08276358605182291;0.0018044710159301758;0.0001398445085210279
SESM;Styblinski_Tang;2;4;1;4950.693853759765;2461.5906287196713;53.29907989501953;14.479817835046159;32.649303185939786;0.3173349844834825
SESM;Styblinski_Tang;2;16;2;2524.9067810058596;982.6028645804612;32.656221103668216;6.097677022693768;32.64994708299637;0.22986914871531133
SESM;Styblinski_Tang;2;64;3;156.45316476821898;108.28873155331766;5.207755053043366;1.6311493161955748;32.93424899578095;0.29766587487798063
SESM;Styblinski_Tang;2;256;4;5.4585422575473785;3.31940393021314;0.8691276997327805;0.16756109161301705;33.69421347379684;1.002911548804612
