iter,Tiempo (min),mse
0,1.909748411178589,0.12422823905944824
1,1.808455510934194,0.04127965122461319
2,1.7704903642336527,0.03901215270161629
3,1.7290841182072958,0.006823831237852573
4,1.7513383030891418,0.08135838806629181
5,1.746146285533905,0.025601625442504883
6,1.7194638172785441,0.06279114633798599
7,1.697494920094808,0.06046001613140106
8,1.7141679207483926,0.018663551658391953
9,1.7375927368799846,0.028862031176686287
10,1.7087520162264507,0.041628140956163406
Promedio,1.7538849458549963,0.04824625218117779
Desviación Estándar,0.05758240593934262,0.03146063577652268
