iter,Tiempo (min),mse
0,2.224076684315999,0.007969059981405735
1,2.477159591515859,0.011332173831760883
2,2.673447299003601,0.020232347771525383
3,2.6681133548418683,0.018067972734570503
4,2.649832026163737,0.019132107496261597
5,2.7287203391393025,0.11181408166885376
6,2.730849536259969,0.017664244398474693
7,2.628553060690562,0.012425407767295837
8,2.6080575585365295,0.018485095351934433
9,2.69867654244105,0.010551144368946552
10,2.805752484003703,0.027192911133170128
Promedio,2.626658043355653,0.024987867864018135
Desviación Estándar,0.1500757323803322,0.0279394103701545
