W_n,W_p,L,Vdd,C_load,f_osc,P_avg,t_rise
4.5399809800345104e-06,3.196706407691624e-06,1.288484127934516e-06,3.6138044461665495,4.961099172624002e-13,6801897.887394784,0.0023347280371264984,3.94503088370053e-09
1.3816967796539561e-06,8.236934371438622e-06,1.2383359374103581e-06,3.518725997214472,3.334943383392743e-13,8827773.2788999,0.0019444653254756855,2.3493419571456517e-09
4.693027842797098e-06,7.217878178884847e-06,1.4380458170412718e-06,3.521810949177233,1.7442163274320783e-13,26763171.033303723,0.0029323031602135367,7.326427467378761e-10
6.163807497477559e-07,9.910529574925407e-06,7.826664849700383e-07,3.336957945394774,4.397525799478743e-13,6213924.547958695,0.001691824020811793,3.155468494334418e-09
2.931973668719673e-06,5.300257043361846e-06,9.036478996419308e-07,3.5942644347829926,2.5040745204128726e-13,20715223.252432745,0.0034001002637033748,9.680883232705353e-10
2.943808002075342e-06,4.582526043467018e-06,1.8502682351920935e-06,3.0315119963419206,3.780447903070907e-13,4909459.7062581405,0.0008562149864830018,3.746800005399732e-09
4.589137487383216e-06,4.258025846428786e-06,7.893368206761955e-07,3.6052520384007045,2.1009152506201205e-13,30995833.5490566,0.004463055830820242,7.013275761632415e-10
1.86262850892157e-06,2.8913351638264987e-06,1.746307806247475e-06,2.896363163336576,3.1562899516336077e-13,3685753.0652145306,0.0004868968213196681,5.028264774142257e-09
3.226570984308329e-06,5.42523908140249e-06,1.3468952169708588e-06,3.0713269094989806,4.641799827333685e-13,6389514.108284088,0.0014130912438529617,2.882988137598619e-09
4.018144761676065e-06,2.4275998571355076e-06,5.640787644067366e-07,2.911486381517213,1.6312510965801385e-13,28000249.463213414,0.0020740004466238927,8.746758760922375e-10
3.591267418970331e-06,6.140699615750684e-06,8.416548449971486e-07,3.0155977591560923,3.2976561765641615e-13,15726131.56252883,0.0023541294348886008,1.224277433658486e-09
3.2541079829649817e-06,9.583125388780903e-06,5.578016927199851e-07,3.150745747488921,8.685711771626434e-14,112583111.0643946,0.0048910213345989065,1.6419061221553715e-10
1.374055699848412e-06,1.9083030579502274e-06,1.0699110814601095e-06,3.7399967405191967,3.5045838305432515e-13,nan,nan,nan
4.979902734185032e-06,2.4600421216545226e-06,7.330405335925408e-07,3.2892160806181905,3.292118980987298e-13,13949579.68543675,0.002680875905657783,1.9746270934739633e-09
5.633172037984439e-07,2.5792158572829404e-06,9.345301754471832e-07,3.319830603028364,3.178237335574043e-13,4161663.4242139086,0.0007822661943425814,3.3245154215186663e-09
2.693822230519646e-06,3.523281862411367e-06,1.5098793373877709e-06,3.658792983219848,4.684520557767707e-13,5267880.106331532,0.0017003586743487798,4.353278030457123e-09
6.023940395270307e-07,1.4314737137782467e-06,6.435038134335673e-07,3.5280627920620073,1.2998602929531106e-13,12764367.912256086,0.0010400966792295505,1.268744352252211e-09
4.608388955420127e-06,5.343443948525438e-06,1.5821642063858572e-06,3.6722693332645338,3.209271699214486e-13,11816520.85570813,0.0026371515490441876,1.9604916436529053e-09
1.2347940986954128e-06,8.309327673142014e-06,5.177234159901549e-07,3.059760644198746,2.3762593035491736e-13,22757414.66569787,0.0026968510872818333,9.324781475923526e-10
4.390327798957816e-06,5.530806741738179e-06,1.834552834344756e-06,3.3181923284537795,1.5197490641301546e-13,18641990.80891029,0.001611105473187521,1.1420022528205729e-09
2.9288495295031365e-06,8.674673475826216e-06,1.8361404458083347e-06,3.654862499522841,4.621853474840512e-14,70860085.43832806,0.002288206347133284,2.7671210126213763e-10
2.248298997191452e-06,1.067403813596901e-06,1.8249763631662821e-06,3.241067060710665,1.0272487632388835e-13,7742884.256870133,0.0004479266701619837,3.4017779832889217e-09
2.80712959093599e-06,3.2139676687412344e-06,1.740199201621645e-06,3.291601827580172,3.848424038924362e-13,4659100.416719749,0.0009972774862263352,4.65648129299985e-09
2.835512473920157e-06,9.640820190151406e-06,6.93012283017516e-07,3.533154772482847,5.812846902544294e-14,147417050.96896568,0.005549758785704493,1.0539810750018174e-10
4.572795502580274e-06,1.321841158873797e-06,7.207779635040898e-07,3.603549500581337,2.3901485151504105e-13,14481181.782166926,0.002434536511106593,2.1090172256031406e-09
2.393147199804582e-06,7.1833072362336006e-06,1.0956627213830907e-06,3.429630163121041,3.0964191887989677e-13,13523238.691394597,0.00259173544580198,1.1790184602594916e-09
2.663649519447368e-06,1.931072738410437e-06,1.739948383750499e-06,3.606467538681243,8.392529134877951e-14,17709408.76498072,0.001039616063271952,1.4512033354185614e-09
2.1573044983999487e-06,6.109337639970643e-06,1.4222175415267754e-06,3.1098455686621533,3.94237758674208e-13,6253230.681062109,0.0012458098429419166,3.018314782475863e-09
2.700044063664422e-06,1.2124704235219855e-06,1.1906841508529609e-06,3.3669562823638364,4.848584950254815e-13,3078210.39580244,0.0009131130793315934,9.024680161285655e-09
4.075359245517979e-06,2.5751761137613644e-06,1.2921994645056512e-06,3.4607747276109526,3.171366334471523e-14,84017424.2460227,0.0017007009321443705,3.036925274311721e-10
1.5069546402089295e-06,9.192876436351282e-06,1.2944158070104612e-06,3.5908490401292066,4.737830432802172e-13,6723373.338752798,0.002199007285966866,2.294758942848471e-09
3.772264696161783e-06,1.9662250175698816e-06,1.9349047625972895e-06,3.736284203541677,3.4184537426444045e-13,4764758.049122998,0.0012303786098964036,5.936842468241446e-09
4.607305861699355e-06,7.610496550087374e-06,1.5839100722860946e-06,3.6649213460703787,2.656500919463137e-13,17178118.34507173,0.003098045713587029,1.1477828121659822e-09
4.730241553254979e-06,4.906578717173641e-06,1.1086701071254368e-06,3.5767099427218527,1.5812935937769697e-14,317824226.85949934,0.0034259035394405154,7.141876214674835e-11
4.248124936647271e-06,1.8999297429284422e-06,9.382902082076444e-07,3.2027309880797095,2.7790410984241617e-13,9957863.258302063,0.0015293968620553066,2.6158993168559732e-09
2.4269186971424044e-06,1.751172922491219e-06,8.590229330223498e-07,3.35314716046213,4.0423113371209767e-13,6118704.8510238575,0.0014751034717185563,3.956615100095412e-09
2.3775756268617576e-06,9.49690031643949e-06,1.4848727914906956e-06,3.4487520041843402,2.2141732507216964e-13,15789520.284925923,0.002242342645028575,1.3816354415642889e-09
2.7953979712529117e-06,7.926227395252449e-06,1.959918003967933e-06,3.7486350403209383,4.4964988205336326e-13,nan,nan,nan
3.3902884400604506e-06,7.051957341143231e-06,1.4167726733809357e-06,2.8631985383658884,1.9246802366999653e-13,15451786.308004456,0.001198026331255861,1.1602779539129318e-09
1.8618630985938994e-06,8.092417742260935e-06,1.667887914524671e-06,3.1079380809762123,4.811019388324589e-13,4536619.22467282,0.001119218644333662,3.766145719244559e-09
9.503018709342189e-07,9.280561061037024e-06,9.428232431503431e-07,3.649026802381286,1.5519090875644534e-13,21573560.495865323,0.0024166856364084294,9.039930273747752e-10
1.5471735394007317e-06,5.004990458078779e-06,1.5331247833008276e-06,3.5253143108145624,1.3721912731158335e-14,149476664.12365422,0.0013719476345515674,1.3117661711417136e-10
2.9273057796455516e-06,3.0713971027891787e-06,8.31199548429818e-07,3.343187618414423,1.7834418369571421e-13,21393178.650667395,0.0022210381789168547,1.0640847397125782e-09
2.4541933586405305e-06,6.611990166456853e-06,8.938332588402669e-07,3.1409054657981548,4.354502458796445e-13,10164555.795244645,0.0022720385958350563,1.8035445192293647e-09
2.8611252218829356e-06,7.334313492748051e-06,9.407959303783277e-07,3.148947801332086,3.050599968977562e-13,15739969.185103495,0.002424661365150838,1.1674165885836604e-09
2.490720276586794e-06,2.568818804938823e-06,1.4104616337747204e-06,3.6011034553607124,3.219677005962189e-13,6514800.062090018,0.0014142324626585038,3.2897467575012505e-09
2.6508906839161712e-06,2.0283388492578787e-06,1.4494489873826844e-06,3.6671050955640747,4.674475967285034e-13,4015464.5493379585,0.001334063873027448,6.3220911885984845e-09
1.8076294548116674e-06,6.921879324578015e-06,1.3576374386870072e-06,3.1588094280379835,1.6288371846027023e-13,15491125.942286758,0.0013252899060270556,1.1427511542894294e-09
3.254157270179519e-06,5.5243098878402446e-06,1.1967004417523447e-06,3.3518470196141266,3.0356534024033686e-13,12616338.57920261,0.0021394304459892463,1.5589339364270205e-09
1.1471317392907039e-06,9.181048449276531e-06,1.9766521906986036e-06,3.494459860413934,6.766005609471233e-14,24953633.381217692,0.0011448600963578825,7.849503662992862e-10
2.0310218476402945e-06,7.750937450809578e-06,1.281454285264519e-06,2.9202854568432777,2.0762114718311365e-13,12903952.57448605,0.0011972792703909376,1.3293398288169846e-09
4.3730086279232815e-06,3.3847765825871117e-06,1.1164958012684558e-06,2.9233756887905713,3.6804575335989537e-13,7972768.96231449,0.0013238925064812945,3.0302633586770503e-09
1.5830733148780535e-06,8.932557907718977e-06,1.732590718636755e-06,3.225205655841602,2.1459372990713622e-13,9756614.789863734,0.0011702689805491652,1.5035172084136806e-09
2.202510847860773e-06,5.7240566099062876e-06,1.2933810094772842e-06,3.626384599272942,2.3891788590844407e-13,13781506.936000401,0.0022365375143145244,1.1616675375734342e-09
1.4052897015068208e-06,9.607664776997996e-06,1.5066481035419277e-06,3.6070823032403583,2.897104225004615e-14,91467193.6060079,0.0018795552893437282,2.224668361091967e-10
5.660924384604654e-07,5.032200008565805e-06,1.2529087664259408e-06,3.211028610511484,4.762508388596436e-13,2552183.9429017864,0.0006767571417512723,6.549812052295307e-09
2.7675956191036365e-06,4.196143056703019e-06,9.956182176640067e-07,2.964721469280349,2.2973918436769085e-13,13482251.721385367,0.0013637632727448216,1.3354412534458269e-09
3.6071852787333676e-06,4.138856095126743e-06,1.0119081633603622e-06,3.2712486377883168,2.6417986091723813e-13,14880616.179179782,0.0021655974317709033,1.3176768287785947e-09
1.0464315893756652e-06,5.559967051819115e-06,1.6862101924096524e-06,2.8706151278578296,2.723145656010054e-13,4310793.2454798035,0.0005189775944903297,3.210352409771134e-09
4.5856703632245215e-06,7.330066167091756e-06,1.7926564128106716e-06,3.3858929047889017,3.8258507203572186e-14,92034251.46192674,0.0021262961247484253,2.342721498571696e-10
2.1141726125329737e-06,2.685893404434377e-06,8.299355790694864e-07,3.262672503526405,3.265545678465613e-13,9066857.665075673,0.0016041684380640195,2.1932633547339834e-09
1.0236876988565408e-06,8.111168251605723e-06,1.8523517420133542e-06,2.860519492904338,4.883878470318962e-14,24475356.258985266,0.0005302269098961808,8.76745602368741e-10
1.1703105907524978e-06,5.234663669521538e-06,1.5097289457267187e-06,2.8768981076526097,4.2190246876589537e-13,3252627.229239124,0.0006070126620500404,5.248335949873619e-09
5.035533706706688e-07,5.786711888844568e-06,8.059810454706284e-07,3.021934600183814,2.8050878309950404e-13,5973507.20461471,0.0008231068807193159,3.075198841460155e-09
4.728910006014605e-06,6.163884879897671e-06,7.271740118957514e-07,3.4060141810413427,3.520037200553418e-13,23114724.753812425,0.0048123935555954185,8.831209154477262e-10
1.954694232293728e-06,5.043768438366996e-06,9.58729528680616e-07,2.9461643935634703,1.0141379018041267e-13,28804779.496540535,0.0012642438147932465,5.771053059224689e-10
2.613330958669523e-06,1.846990243917881e-06,1.6938876471750082e-06,3.3729944671864005,2.7269742865473635e-13,4929788.198042304,0.0008180556980824084,4.51939042315548e-09
1.9864781982334802e-06,4.171601132548365e-06,1.399922204151053e-06,2.8683822116035613,4.730083865890096e-13,3766368.354960845,0.0007380416347735457,4.4034901285153e-09
2.545196840388184e-06,4.366277642865829e-06,1.8148831324197688e-06,3.529040018526315,4.869436485555352e-14,43545625.69412024,0.0013825865133544873,4.772343726523172e-10
